name;version;bom-ref;licenses/0/license/id;copyrights;externalReferences/0/url;language
plugin-syntax-optional-catch-binding;7.8.3;@babel/plugin-syntax-optional-catch-binding@7.8.3;MIT;;https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-optional-catch-binding;javascript
plugin-syntax-optional-chaining;7.8.3;@babel/plugin-syntax-optional-chaining@7.8.3;MIT;;https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-optional-chaining;javascript
plugin-proposal-private-methods;7.16.0;@babel/plugin-proposal-private-methods@7.16.0;MIT;;git+https://github.com/babel/babel.git#packages/babel-plugin-proposal-private-methods;javascript
plugin-proposal-private-property-in-object;7.16.0;@babel/plugin-proposal-private-property-in-object@7.16.0;MIT;;git+https://github.com/babel/babel.git#packages/babel-plugin-proposal-private-property-in-object;javascript
plugin-syntax-private-property-in-object;7.14.5;@babel/plugin-syntax-private-property-in-object@7.14.5;MIT;;git+https://github.com/babel/babel.git#packages/babel-plugin-syntax-private-property-in-object;javascript
plugin-proposal-unicode-property-regex;7.16.0;@babel/plugin-proposal-unicode-property-regex@7.16.0;MIT;;git+https://github.com/babel/babel.git#packages/babel-plugin-proposal-unicode-property-regex;javascript
helper-create-regexp-features-plugin;7.16.0;@babel/helper-create-regexp-features-plugin@7.16.0;MIT;;git+https://github.com/babel/babel.git#packages/babel-helper-create-regexp-features-plugin;javascript
regexpu-core;4.8.0;regexpu-core@4.8.0;MIT;;git+https://github.com/mathiasbynens/regexpu-core.git;javascript
regenerate-unicode-properties;9.0.0;regenerate-unicode-properties@9.0.0;MIT;;git+https://github.com/mathiasbynens/regenerate-unicode-properties.git;javascript
regenerate;1.4.2;regenerate@1.4.2;MIT;;git+https://github.com/mathiasbynens/regenerate.git;javascript
regjsgen;0.5.2;regjsgen@0.5.2;MIT;;git+https://github.com/bnjmnt4n/regjsgen.git;javascript
regjsparser;0.7.0;regjsparser@0.7.0;BSD-2-Clause;;git+ssh://git@github.com/jviereck/regjsparser.git;javascript
unicode-match-property-ecmascript;2.0.0;unicode-match-property-ecmascript@2.0.0;MIT;;git+https://github.com/mathiasbynens/unicode-match-property-ecmascript.git;javascript
unicode-canonical-property-names-ecmascript;2.0.0;unicode-canonical-property-names-ecmascript@2.0.0;MIT;;git+https://github.com/mathiasbynens/unicode-canonical-property-names-ecmascript.git;javascript
unicode-property-aliases-ecmascript;2.0.0;unicode-property-aliases-ecmascript@2.0.0;MIT;;git+https://github.com/mathiasbynens/unicode-property-aliases-ecmascript.git;javascript
unicode-match-property-value-ecmascript;2.0.0;unicode-match-property-value-ecmascript@2.0.0;MIT;;git+https://github.com/mathiasbynens/unicode-match-property-value-ecmascript.git;javascript
plugin-syntax-class-properties;7.12.13;@babel/plugin-syntax-class-properties@7.12.13;MIT;;git+https://github.com/babel/babel.git#packages/babel-plugin-syntax-class-properties;javascript
plugin-syntax-top-level-await;7.14.5;@babel/plugin-syntax-top-level-await@7.14.5;MIT;;git+https://github.com/babel/babel.git#packages/babel-plugin-syntax-top-level-await;javascript
plugin-transform-arrow-functions;7.16.0;@babel/plugin-transform-arrow-functions@7.16.0;MIT;;git+https://github.com/babel/babel.git#packages/babel-plugin-transform-arrow-functions;javascript
plugin-transform-async-to-generator;7.16.0;@babel/plugin-transform-async-to-generator@7.16.0;MIT;;git+https://github.com/babel/babel.git#packages/babel-plugin-transform-async-to-generator;javascript
plugin-transform-block-scoped-functions;7.16.0;@babel/plugin-transform-block-scoped-functions@7.16.0;MIT;;git+https://github.com/babel/babel.git#packages/babel-plugin-transform-block-scoped-functions;javascript
plugin-transform-block-scoping;7.16.0;@babel/plugin-transform-block-scoping@7.16.0;MIT;;git+https://github.com/babel/babel.git#packages/babel-plugin-transform-block-scoping;javascript
plugin-transform-classes;7.16.0;@babel/plugin-transform-classes@7.16.0;MIT;;git+https://github.com/babel/babel.git#packages/babel-plugin-transform-classes;javascript
plugin-transform-computed-properties;7.16.0;@babel/plugin-transform-computed-properties@7.16.0;MIT;;git+https://github.com/babel/babel.git#packages/babel-plugin-transform-computed-properties;javascript
plugin-transform-destructuring;7.16.0;@babel/plugin-transform-destructuring@7.16.0;MIT;;git+https://github.com/babel/babel.git#packages/babel-plugin-transform-destructuring;javascript
plugin-transform-dotall-regex;7.16.0;@babel/plugin-transform-dotall-regex@7.16.0;MIT;;git+https://github.com/babel/babel.git#packages/babel-plugin-transform-dotall-regex;javascript
plugin-transform-duplicate-keys;7.16.0;@babel/plugin-transform-duplicate-keys@7.16.0;MIT;;git+https://github.com/babel/babel.git#packages/babel-plugin-transform-duplicate-keys;javascript
plugin-transform-exponentiation-operator;7.16.0;@babel/plugin-transform-exponentiation-operator@7.16.0;MIT;;git+https://github.com/babel/babel.git#packages/babel-plugin-transform-exponentiation-operator;javascript
helper-builder-binary-assignment-operator-visitor;7.16.0;@babel/helper-builder-binary-assignment-operator-visitor@7.16.0;MIT;;git+https://github.com/babel/babel.git#packages/babel-helper-builder-binary-assignment-operator-visitor;javascript
helper-explode-assignable-expression;7.16.0;@babel/helper-explode-assignable-expression@7.16.0;MIT;;git+https://github.com/babel/babel.git#packages/babel-helper-explode-assignable-expression;javascript
plugin-transform-for-of;7.16.0;@babel/plugin-transform-for-of@7.16.0;MIT;;git+https://github.com/babel/babel.git#packages/babel-plugin-transform-for-of;javascript
plugin-transform-function-name;7.16.0;@babel/plugin-transform-function-name@7.16.0;MIT;;git+https://github.com/babel/babel.git#packages/babel-plugin-transform-function-name;javascript
plugin-transform-literals;7.16.0;@babel/plugin-transform-literals@7.16.0;MIT;;git+https://github.com/babel/babel.git#packages/babel-plugin-transform-literals;javascript
plugin-transform-member-expression-literals;7.16.0;@babel/plugin-transform-member-expression-literals@7.16.0;MIT;;git+https://github.com/babel/babel.git#packages/babel-plugin-transform-member-expression-literals;javascript
plugin-transform-modules-amd;7.16.0;@babel/plugin-transform-modules-amd@7.16.0;MIT;;git+https://github.com/babel/babel.git#packages/babel-plugin-transform-modules-amd;javascript
babel-plugin-dynamic-import-node;2.3.3;babel-plugin-dynamic-import-node@2.3.3;MIT;;git+https://github.com/airbnb/babel-plugin-dynamic-import-node.git;javascript
object.assign;4.1.2;object.assign@4.1.2;MIT;;git://github.com/ljharb/object.assign.git;javascript
call-bind;1.0.2;call-bind@1.0.2;MIT;;git+https://github.com/ljharb/call-bind.git;javascript
define-properties;1.1.3;define-properties@1.1.3;MIT;;git://github.com/ljharb/define-properties.git;javascript
has-symbols;1.0.2;has-symbols@1.0.2;MIT;;git://github.com/inspect-js/has-symbols.git;javascript
object-keys;1.1.1;object-keys@1.1.1;MIT;;git://github.com/ljharb/object-keys.git;javascript
plugin-transform-modules-commonjs;7.16.0;@babel/plugin-transform-modules-commonjs@7.16.0;MIT;;git+https://github.com/babel/babel.git#packages/babel-plugin-transform-modules-commonjs;javascript
plugin-transform-modules-systemjs;7.16.0;@babel/plugin-transform-modules-systemjs@7.16.0;MIT;;git+https://github.com/babel/babel.git#packages/babel-plugin-transform-modules-systemjs;javascript
plugin-transform-modules-umd;7.16.0;@babel/plugin-transform-modules-umd@7.16.0;MIT;;git+https://github.com/babel/babel.git#packages/babel-plugin-transform-modules-umd;javascript
plugin-transform-named-capturing-groups-regex;7.16.0;@babel/plugin-transform-named-capturing-groups-regex@7.16.0;MIT;;git+https://github.com/babel/babel.git#packages/babel-plugin-transform-named-capturing-groups-regex;javascript
plugin-transform-new-target;7.16.0;@babel/plugin-transform-new-target@7.16.0;MIT;;git+https://github.com/babel/babel.git#packages/babel-plugin-transform-new-target;javascript
plugin-transform-object-super;7.16.0;@babel/plugin-transform-object-super@7.16.0;MIT;;git+https://github.com/babel/babel.git#packages/babel-plugin-transform-object-super;javascript
plugin-transform-property-literals;7.16.0;@babel/plugin-transform-property-literals@7.16.0;MIT;;git+https://github.com/babel/babel.git#packages/babel-plugin-transform-property-literals;javascript
plugin-transform-regenerator;7.16.0;@babel/plugin-transform-regenerator@7.16.0;MIT;;git+https://github.com/babel/babel.git#packages/babel-plugin-transform-regenerator;javascript
regenerator-transform;0.14.5;regenerator-transform@0.14.5;MIT;;https://github.com/facebook/regenerator/tree/master/packages/regenerator-transform;javascript
runtime;7.16.3;@babel/runtime@7.16.3;MIT;;git+https://github.com/babel/babel.git#packages/babel-runtime;javascript
plugin-transform-reserved-words;7.16.0;@babel/plugin-transform-reserved-words@7.16.0;MIT;;git+https://github.com/babel/babel.git#packages/babel-plugin-transform-reserved-words;javascript
plugin-transform-shorthand-properties;7.16.0;@babel/plugin-transform-shorthand-properties@7.16.0;MIT;;git+https://github.com/babel/babel.git#packages/babel-plugin-transform-shorthand-properties;javascript
plugin-transform-spread;7.16.0;@babel/plugin-transform-spread@7.16.0;MIT;;git+https://github.com/babel/babel.git#packages/babel-plugin-transform-spread;javascript
plugin-transform-sticky-regex;7.16.0;@babel/plugin-transform-sticky-regex@7.16.0;MIT;;git+https://github.com/babel/babel.git#packages/babel-plugin-transform-sticky-regex;javascript
plugin-transform-template-literals;7.16.0;@babel/plugin-transform-template-literals@7.16.0;MIT;;git+https://github.com/babel/babel.git#packages/babel-plugin-transform-template-literals;javascript
plugin-transform-typeof-symbol;7.16.0;@babel/plugin-transform-typeof-symbol@7.16.0;MIT;;git+https://github.com/babel/babel.git#packages/babel-plugin-transform-typeof-symbol;javascript
plugin-transform-unicode-escapes;7.16.0;@babel/plugin-transform-unicode-escapes@7.16.0;MIT;;git+https://github.com/babel/babel.git#packages/babel-plugin-transform-unicode-escapes;javascript
plugin-transform-unicode-regex;7.16.0;@babel/plugin-transform-unicode-regex@7.16.0;MIT;;git+https://github.com/babel/babel.git#packages/babel-plugin-transform-unicode-regex;javascript
preset-modules;0.1.5;@babel/preset-modules@0.1.5;MIT;;git+https://github.com/babel/preset-modules.git;javascript
types;7.8.3;@babel/types@7.8.3;MIT;;https://github.com/babel/babel/tree/master/packages/babel-types;javascript
esutils;2.0.2;esutils@2.0.2;"BSD 2-Clause ""Simplified"" License";;git+ssh://git@github.com/estools/esutils.git;javascript
register;7.16.0;@babel/register@7.16.0;MIT;;git+https://github.com/babel/babel.git#packages/babel-register;javascript
clone-deep;4.0.1;clone-deep@4.0.1;MIT;;git+https://github.com/jonschlinkert/clone-deep.git;javascript
is-plain-object;2.0.4;is-plain-object@2.0.4;MIT;;git+https://github.com/jonschlinkert/is-plain-object.git;javascript
shallow-clone;3.0.1;shallow-clone@3.0.1;MIT;;git+https://github.com/jonschlinkert/shallow-clone.git;javascript
find-cache-dir;2.1.0;find-cache-dir@2.1.0;MIT;;git+https://github.com/avajs/find-cache-dir.git;javascript
commondir;1.0.1;commondir@1.0.1;MIT;;git+ssh://git@github.com/substack/node-commondir.git;javascript
path-exists;3.0.0;path-exists@3.0.0;MIT;;git+https://github.com/sindresorhus/path-exists.git;javascript
pirates;4.0.1;pirates@4.0.1;MIT;;git+https://github.com/ariporad/pirates.git;javascript
node-modules-regexp;1.0.0;node-modules-regexp@1.0.0;MIT;;git+https://github.com/jamestalmage/node-modules-regexp.git;javascript
buffer-from;1.1.1;buffer-from@1.1.1;MIT;;git+https://github.com/LinusU/buffer-from.git;javascript
source-map;0.6.1;source-map@0.6.1;BSD-3-Clause;;git+ssh://git@github.com/mozilla/source-map.git;javascript
regenerator-runtime;0.13.7;regenerator-runtime@0.13.7;MIT;;https://github.com/facebook/regenerator/tree/master/packages/regenerator-runtime;javascript
font;6.5.95;@mdi/font@6.5.95;Apache-2.0;;git+https://github.com/Templarian/MaterialDesign-Webfont.git;javascript
autoprefixer;10.4.0;autoprefixer@10.4.0;MIT;;git+https://github.com/postcss/autoprefixer.git;javascript
caniuse-lite;1.0.30001284;caniuse-lite@1.0.30001284;CC-BY-4.0;;git+https://github.com/browserslist/caniuse-lite.git;javascript
fraction.js;4.1.1;fraction.js@4.1.1;MIT;;git://github.com/infusion/Fraction.js.git;javascript
normalize-range;0.1.2;normalize-range@0.1.2;MIT;;git+https://github.com/jamestalmage/normalize-range.git;javascript
picocolors;1.0.0;picocolors@1.0.0;ISC;;git+https://github.com/alexeyraspopov/picocolors.git;javascript
postcss-value-parser;4.1.0;postcss-value-parser@4.1.0;MIT;;git+https://github.com/TrySound/postcss-value-parser.git;javascript
postcss;8.4.4;postcss@8.4.4;MIT;;git+https://github.com/postcss/postcss.git;javascript
axios;0.21.1;axios@0.21.1;MIT;;git+https://github.com/axios/axios.git;javascript
follow-redirects;1.13.0;follow-redirects@1.13.0;MIT;;git+ssh://git@github.com/follow-redirects/follow-redirects.git;javascript
babel-eslint;10.1.0;babel-eslint@10.1.0;MIT;;git+https://github.com/babel/babel-eslint.git;javascript
code-frame;7.0.0;@babel/code-frame@7.0.0;MIT;;https://github.com/babel/babel/tree/master/packages/babel-code-frame;javascript
highlight;7.0.0;@babel/highlight@7.0.0;MIT;;https://github.com/babel/babel/tree/master/packages/babel-highlight;javascript
parser;7.8.4;@babel/parser@7.8.4;MIT;;https://github.com/babel/babel/tree/master/packages/babel-parser;javascript
traverse;7.8.4;@babel/traverse@7.8.4;MIT;;https://github.com/babel/babel/tree/master/packages/babel-traverse;javascript
generator;7.8.4;@babel/generator@7.8.4;MIT;;https://github.com/babel/babel/tree/master/packages/babel-generator;javascript
helper-function-name;7.8.3;@babel/helper-function-name@7.8.3;MIT;;https://github.com/babel/babel/tree/master/packages/babel-helper-function-name;javascript
helper-get-function-arity;7.8.3;@babel/helper-get-function-arity@7.8.3;MIT;;https://github.com/babel/babel/tree/master/packages/babel-helper-get-function-arity;javascript
template;7.8.3;@babel/template@7.8.3;MIT;;https://github.com/babel/babel/tree/master/packages/babel-template;javascript
helper-split-export-declaration;7.8.3;@babel/helper-split-export-declaration@7.8.3;MIT;;https://github.com/babel/babel/tree/master/packages/babel-helper-split-export-declaration;javascript
eslint-visitor-keys;1.1.0;eslint-visitor-keys@1.1.0;Apache-2.0;;git+https://github.com/eslint/eslint-visitor-keys.git;javascript
eslint;7.32.0;eslint@7.32.0;MIT;;git+https://github.com/eslint/eslint.git;javascript
babel-loader;8.2.3;babel-loader@8.2.3;MIT;;git+https://github.com/babel/babel-loader.git;javascript
make-dir;3.1.0;make-dir@3.1.0;MIT;;git+https://github.com/sindresorhus/make-dir.git;javascript
pkg-dir;4.2.0;pkg-dir@4.2.0;MIT;;git+https://github.com/sindresorhus/pkg-dir.git;javascript
find-up;4.1.0;find-up@4.1.0;MIT;;git+https://github.com/sindresorhus/find-up.git;javascript
big.js;5.2.2;big.js@5.2.2;MIT;;git+https://github.com/MikeMcl/big.js.git;javascript
minimist;1.2.0;minimist@1.2.0;MIT;;git://github.com/substack/minimist.git;javascript
json-schema;7.0.7;@types/json-schema@7.0.7;MIT;;git+https://github.com/DefinitelyTyped/DefinitelyTyped.git#types/json-schema;javascript
ajv-keywords;3.5.2;ajv-keywords@3.5.2;MIT;;git+https://github.com/epoberezkin/ajv-keywords.git;javascript
ajv;6.12.6;ajv@6.12.6;MIT;;git+https://github.com/ajv-validator/ajv.git;javascript
webpack;5.64.4;webpack@5.64.4;MIT;;git+https://github.com/webpack/webpack.git;javascript
babel-polyfill;6.26.0;babel-polyfill@6.26.0;MIT;;https://github.com/babel/babel/tree/master/packages/babel-polyfill;javascript
babel-runtime;6.26.0;babel-runtime@6.26.0;MIT;;https://github.com/babel/babel/tree/master/packages/babel-runtime;javascript
electron-to-chromium;1.4.10;electron-to-chromium@1.4.10;ISC;;git+https://github.com/kilian/electron-to-chromium.git;javascript
escalade;3.1.1;escalade@3.1.1;MIT;;git+https://github.com/lukeed/escalade.git;javascript
node-releases;2.0.1;node-releases@2.0.1;MIT;;git+https://github.com/chicoxyzzy/node-releases.git;javascript
chai;4.3.4;chai@4.3.4;MIT;;git+https://github.com/chaijs/chai.git;javascript
assertion-error;1.1.0;assertion-error@1.1.0;MIT;;git+ssh://git@github.com/chaijs/assertion-error.git;javascript
check-error;1.0.2;check-error@1.0.2;MIT;;git+ssh://git@github.com/chaijs/check-error.git;javascript
deep-eql;3.0.1;deep-eql@3.0.1;MIT;;git+ssh://git@github.com/chaijs/deep-eql.git;javascript
type-detect;4.0.8;type-detect@4.0.8;MIT;;git+ssh://git@github.com/chaijs/type-detect.git;javascript
get-func-name;2.0.0;get-func-name@2.0.0;MIT;;git+ssh://git@github.com/chaijs/get-func-name.git;javascript
pathval;1.1.1;pathval@1.1.1;MIT;;git+ssh://git@github.com/chaijs/pathval.git;javascript
chalk;4.1.2;chalk@4.1.2;MIT;;git+https://github.com/chalk/chalk.git;javascript
chromedriver;95.0.0;chromedriver@95.0.0;Apache-2.0;;git://github.com/giggio/node-chromedriver.git;javascript
chrome-version;1.0.7;@testim/chrome-version@1.0.7;MIT;;https://github.com/testimio/chrome-version;javascript
del;6.0.0;del@6.0.0;MIT;;git+https://github.com/sindresorhus/del.git;javascript
globby;11.0.4;globby@11.0.4;MIT;;git+https://github.com/sindresorhus/globby.git;javascript
array-union;2.1.0;array-union@2.1.0;MIT;;git+https://github.com/sindresorhus/array-union.git;javascript
dir-glob;3.0.1;dir-glob@3.0.1;MIT;;git+https://github.com/kevva/dir-glob.git;javascript
path-type;4.0.0;path-type@4.0.0;MIT;;git+https://github.com/sindresorhus/path-type.git;javascript
fast-glob;3.2.7;fast-glob@3.2.7;MIT;;git+https://github.com/mrmlnc/fast-glob.git;javascript
fs.stat;2.0.5;@nodelib/fs.stat@2.0.5;MIT;;https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.stat;javascript
fs.walk;1.2.8;@nodelib/fs.walk@1.2.8;MIT;;https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.walk;javascript
fs.scandir;2.1.5;@nodelib/fs.scandir@2.1.5;MIT;;https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.scandir;javascript
run-parallel;1.2.0;run-parallel@1.2.0;MIT;;git://github.com/feross/run-parallel.git;javascript
queue-microtask;1.2.3;queue-microtask@1.2.3;MIT;;git://github.com/feross/queue-microtask.git;javascript
fastq;1.13.0;fastq@1.13.0;ISC;;git+https://github.com/mcollina/fastq.git;javascript
